input_len,lcs_time,fast_dtw_time,dtw_time
3,1.5727535000000001,5.4439533,7.007880999999999
4,1.5903288999999994,6.3590005000000005,8.9783504
5,1.858176400000005,6.247960000000006,12.1638685
6,2.163489200000001,8.706339499999999,14.194734399999987
7,2.4344149000000073,7.997550900000007,16.1486297
8,2.8308252000000067,9.426124000000016,17.9639167
9,2.789169700000002,8.467587100000003,18.645696700000002
10,3.082800600000013,9.06060930000001,20.733105499999994
11,3.9411441000000025,8.72576810000001,25.05197629999998
12,4.128322300000036,10.213306899999964,29.246782499999995
13,4.303308800000025,11.031812699999989,29.347387600000047
14,4.615273300000013,10.509382800000026,32.16928519999999
15,4.968260999999984,10.431597699999998,33.5779273
16,5.386137899999994,11.912047499999971,34.67827390000002
17,5.983318899999972,11.250315499999942,37.202873400000044
18,5.80765729999996,11.885520499999984,39.300779199999965
19,5.952618900000061,11.240328800000043,41.88585599999999
20,6.094366200000081,11.506574700000101,41.8234516
21,6.391853999999967,10.96547899999996,43.93378289999998
22,6.6162127000000055,11.083984299999997,45.54042689999994
23,7.404282500000022,12.912747400000057,51.494692400000076
24,7.713223800000037,12.116179999999986,50.350192900000025
25,8.083201999999915,11.762274899999966,52.1299618999999
26,8.127335200000061,11.979699299999993,54.46560090000003
27,8.326588700000002,11.772254200000134,55.234769500000084
28,8.715664199999992,12.168904900000143,58.560334699999885
29,9.22226210000008,12.051762900000085,60.30833819999998
30,9.42059119999999,12.042256100000031,60.7281868
31,9.382447799999909,12.004507699999976,63.52107950000004
32,9.611107100000027,12.46881129999997,65.47832119999998
33,9.91965839999989,12.382867900000065,66.52571109999985
34,10.229335799999944,12.309165299999904,68.91746460000013
35,10.59049200000004,12.283315499999844,71.85797450000018
36,10.786044800000127,13.764562099999921,73.9700785
37,11.30308889999992,13.44184889999974,75.56650210000043
38,11.362930400000096,12.45867649999991,78.71199300000035
39,11.743149000000358,12.541365399999904,80.25925670000015
40,12.187613300000066,12.952458200000365,82.03200509999988
